merchantId,title,saleType,startAt,endAt,confidence,sourceUrl,note
rakuten,楽天ブラックフライデー 2025,black-friday,2025-11-20 20:00,2025-11-27 01:59,confirmed,https://event.rakuten.co.jp/family/story/article/2024/rakuten-blackfriday/,楽天公式読み物の開催履歴に基づく。
amazon,Amazon ブラックフライデー 2025,black-friday,2025-11-24 00:00,2025-12-01 23:59,confirmed,https://www.aboutamazon.jp/news/retail/amazon-black-friday-2025,年末商戦の大型セール。
yahoo-shopping,Yahoo!ショッピング 超PayPay祭 2025年12月,super-paypay,2025-12-01 12:00,2025-12-16 01:59,confirmed,https://wallet.yahoo.co.jp/notice/archives/20251201_01.html,原典の25:59表記を翌日01:59に換算。
rakuten,楽天スーパーSALE 2025年12月,super-sale,2025-12-04 20:00,2025-12-11 01:59,confirmed,https://event.rakuten.co.jp/family/story/article/2021/rakuten-supersale-strategy/,楽天公式読み物の開催履歴に基づく。
rakuten,楽天大感謝祭 2025,year-end-thanks,2025-12-19 20:00,2025-12-26 01:59,confirmed,https://appllio.com/rakuten-special-thanks-festival-2025,年末大型買いまわり。二次情報で開催実績確認。
rakuten,Rakuten初売り／新春ポイントアップ祭 2026,new-year,2026-01-01 00:00,2026-01-03 23:59,confirmed,https://corp.rakuten.co.jp/news/update/2025/1226_01.html,楽天公式発表。
amazon,Amazon 初売り 2026,new-year,2026-01-03 09:00,2026-01-07 23:59,confirmed,https://www.aboutamazon.jp/news/retail/amazon-2026-new-year-sale,About Amazon公式。
amazon,Amazon 新生活セール 2026 先行セール,spring-preview,2026-03-03 00:00,2026-03-05 23:59,confirmed,https://www.aboutamazon.jp/news/retail/amazon-newlife-sale-2026,本セール前の先行セール。
yahoo-shopping,Yahoo!ショッピング 超PayPay祭 2026年3月,super-paypay,2026-03-03 12:00,2026-03-23 01:59,confirmed,https://wallet.yahoo.co.jp/notice/archives/20260303_01.html,原典の25:59表記を翌日01:59に換算。
rakuten,楽天スーパーSALE 2026年3月,super-sale,2026-03-04 20:00,2026-03-11 01:59,confirmed,https://event.rakuten.co.jp/family/story/article/2021/rakuten-supersale-strategy/,楽天公式読み物の開催履歴に基づく。
amazon,Amazon 新生活セール 2026,spring,2026-03-06 00:00,2026-03-09 23:59,confirmed,https://www.aboutamazon.jp/news/retail/amazon-newlife-sale-2026,春の大型セール。
yahoo-shopping,Yahoo!ショッピング 爆買ウルトラSALE 2026年5月,bakugai-ultra-sale,2026-05-30 00:00,2026-06-02 01:59,confirmed,https://www.lycorp.co.jp/ja/news/release/020404/,初夏大型販促。原典の25:59表記を翌日01:59に換算。
rakuten,楽天スーパーSALE 2026年6月,super-sale,2026-06-04 20:00,2026-06-11 01:59,confirmed,https://game.watch.impress.co.jp/docs/news/2111559.html,開催予定の報道確認。
amazon,Amazon プライムデー 2026,prime-day,2026-07-10 00:00,2026-07-13 23:59,estimated,https://www.aboutamazon.jp/news/amazon-prime,公式未発表。Amazon公式ニュースで2026年7月開催のみ確認、具体日は2025年実績から推定。
yahoo-shopping,Yahoo!ショッピング 2026年7月大型企画（超PayPay祭系）,super-paypay,2026-07-10 00:00,2026-07-31 23:59,estimated,https://shopping.yahoo.co.jp/promotion/sale/ppf/,公式ページで7/10〜大型企画告知のみ確認。終了日・正式名称は未発表のため推定。
rakuten,楽天スーパーSALE 2026年9月,super-sale,2026-09-04 20:00,2026-09-11 01:59,estimated,https://event.rakuten.co.jp/family/story/article/2021/rakuten-supersale-strategy/,公式未発表。例年3/6/9/12月の4日20:00開始・11日01:59終了の傾向から推定。
amazon,Amazon プライム感謝祭 2026,prime-appreciation,2026-10-06 00:00,2026-10-09 23:59,estimated,https://www.aboutamazon.jp/news/amazon-prime/prime-appreciation-sale-2025,公式未発表。2025年の4日間開催化をベースに推定。
rakuten,楽天ブラックフライデー 2026,black-friday,2026-11-19 20:00,2026-11-27 01:59,estimated,https://event.rakuten.co.jp/family/story/article/2024/rakuten-blackfriday/,公式未発表。2023〜2025年実績から11月下旬開催として推定。
amazon,Amazon ブラックフライデー 2026,black-friday,2026-11-27 00:00,2026-12-04 23:59,estimated,https://www.aboutamazon.jp/news/retail/amazon-black-friday-2025,公式未発表。ブラックフライデー当日開始・約8日間の近年実績から推定。
yahoo-shopping,Yahoo!ショッピング 超PayPay祭 2026年12月,super-paypay,2026-12-01 12:00,2026-12-16 01:59,estimated,https://wallet.yahoo.co.jp/notice/archives/20251201_01.html,公式未発表。2025年12月実績をベースに推定。
rakuten,楽天スーパーSALE 2026年12月,super-sale,2026-12-04 20:00,2026-12-11 01:59,estimated,https://event.rakuten.co.jp/family/story/article/2021/rakuten-supersale-strategy/,公式未発表。例年の開催パターンから推定。
rakuten,楽天大感謝祭 2026,year-end-thanks,2026-12-19 20:00,2026-12-26 01:59,estimated,https://appllio.com/rakuten-special-thanks-festival-2025,公式未発表。2023〜2025年実績から推定。
rakuten,Rakuten初売り／新春ポイントアップ祭 2027,new-year,2027-01-01 00:00,2027-01-03 23:59,estimated,https://event.rakuten.co.jp/newyear/campaign/pointup/,公式未発表。2025〜2026年の新春ポイントアップ祭実績から推定。
amazon,Amazon 初売り 2027,new-year,2027-01-03 09:00,2027-01-07 23:59,estimated,https://www.aboutamazon.jp/news/retail/amazon-2026-new-year-sale,公式未発表。毎年恒例の1/3開始パターンから推定。
yahoo-shopping,Yahoo!ショッピング 超PayPay祭 2027年3月,super-paypay,2027-03-03 12:00,2027-03-23 01:59,estimated,https://wallet.yahoo.co.jp/notice/archives/20260303_01.html,公式未発表。2025〜2026年3月の春開催実績をベースに推定。
rakuten,楽天スーパーSALE 2027年3月,super-sale,2027-03-04 20:00,2027-03-11 01:59,estimated,https://event.rakuten.co.jp/family/story/article/2021/rakuten-supersale-strategy/,公式未発表。例年の開催パターンから推定。
amazon,Amazon 新生活セール 2027,spring,2027-03-05 00:00,2027-03-08 23:59,estimated,https://www.aboutamazon.jp/news/retail/amazon-newlife-sale-2026,公式未発表。2026年の3月第1金曜〜月曜開催を参考に推定。
